uuid,name,createDate,updateDate
srv-a57a796d-93f2-4669-a75b-93bab66b53ff,Contacts,2025-01-07 12:21:47.186,2025-01-07 12:21:47.186
srv-e0f6c5c2-060a-44db-9e2a-c90163a0117b,Stock,2025-01-07 12:21:47.186,2025-01-07 12:21:47.186
srv-f5592048-53f4-4994-9643-e067acb8e70e,Messages,2025-01-07 12:21:47.186,2025-01-07 12:21:47.186
srv-cc4322b6-a45b-4005-8a74-9163180a19b4,Logistics,2025-01-07 12:21:47.186,2025-01-07 12:21:47.186
srv-ff17a516-1a23-4e60-acc7-4dce4d496a86,Documents,2025-01-07 12:21:47.186,2025-01-07 12:21:47.186
srv-b9ae7151-ad77-4fb5-be97-0faa90b53b34,User,2025-01-07 12:21:47.187,2025-01-07 12:21:47.187
srv-dbcc31a6-e21f-413a-8c0b-86cc535dc741,Ecafe,2025-01-07 12:21:47.187,2025-01-07 12:21:47.187
srv-cbdcffa4-faf3-4558-ad9b-2e7fb9a112b4,History,2025-01-07 12:21:47.186,2025-01-07 12:21:47.186
srv-61be10d4-0e25-4cf6-8518-60ae446771d9,Meetings,2025-01-07 12:21:47.187,2025-01-07 12:21:47.187
srv-2ddfb06e-9030-49cd-aaf2-03306f7cf278,Access,2025-01-07 12:21:47.187,2025-01-07 12:21:47.187
srv-452a2e20-6cc9-4b67-8430-2b1b3a131d9f,Settings,2025-01-07 12:21:47.187,2025-01-07 12:21:47.187
